number_of_commits,commits_client_files,commits_import_library,code_churn,code_churn_client_files,imports,days_since_first_import,days_since_last_import,days_between_imports,avg_days_commits_client_files,avg_days_commits_import_library,projects,projects_import,Num_Answers,Num_Accepted_Answers,Num_Upvotes,Avg_Score_Per_Answer,Num_Questions,Num_First_Answers,Tag_Score,time_of_activity,rating
1166,37,38,9737,8610,79,4482,505,3977,116.5675676,113.5,14,13,4,4,33,8.25,1,3,60,1537.845289,
65,59,67,5452,5217,143,1860,792,1068,35.6779661,31.41791045,4,4,47,19,361,7.680851064,1,16,362,-13.98540509,
838,54,56,67218,11922,140,3659,1600,2059,35.09259259,33.83928571,8,7,,,,,0,,0,,
125,91,87,7216,5713,171,3755,1664,2091,37.83516484,39.57471264,9,9,29,4,32,1.103448276,2,9,33,1544.314271,
351,122,43,58211,9514,196,3623,1303,2320,19.8852459,56.41860465,19,19,86,44,763,8.872093023,0,65,763,3.670277778,
22,20,3,968,954,28,1632,538,1094,17.3,115.3333333,4,4,49,11,235,4.795918367,2,20,253,264.0621181,
3315,701,737,164686,55144,1752,4151,98,4053,6.402282454,6.089552239,98,101,15,4,306,20.4,1,9,308,3370.037998,
630,196,186,77417,25655,423,5001,897,4104,10.30102041,10.85483871,12,12,3,3,28,9.333333333,0,3,28,1081.251956,
713,269,287,80824,20184,555,4878,1095,3783,0.148698885,0.139372822,34,35,,,,,0,,0,,
182,164,359,123094,48002,612,2284,304,1980,19.07317073,8.713091922,9,9,,,,,0,,0,,
125,94,66,64183,11061,231,3599,2632,967,7.638297872,10.87878788,7,7,,,,,0,,0,,
666,475,597,460504,54007,1308,2833,27,2860,6.591578947,5.244556114,58,59,2,0,23,11.5,0,0,23,-1370.638681,
349,262,187,505887,26686,499,2734,42,2692,12.63358779,17.70053476,28,28,14,10,31,2.214285714,4,12,54,669.0641782,
349,127,89,59881,15257,279,3914,8,3922,38.84251969,55.42696629,22,25,56,29,264,4.714285714,1,43,265,2482.758681,
2,2,,404,336,168,3567,3567,0,514.5,,1,1,2,1,14,7,0,1,14,-919.1172454,
7,7,8,571,405,16,,,,2521,,1,1,,,,,0,,0,,
17,15,1,494,384,34,1993,1993,0,125.1333333,1877,2,2,,,,,1,,2,,4
67,10,17,2400,1006,51,2019,1143,876,335.3,197.2352941,9,9,1,0,0,0,0,0,0,,
8,2,2,99,47,2,4131,2946,1185,592.5,592.5,2,2,,,,,0,,0,,
1,1,,21,21,1,,,,0,,1,1,,,,,0,,0,,
1,,,2,,,,,,,,1,1,,,,,0,,0,,
23,16,19,777,588,41,2148,1842,306,111.125,93.57894737,2,2,,,,,1,,2,,
38,6,1,1018,387,7,1631,798,833,476.3333333,2858,6,6,,,,,0,,0,,
3456,2182,1702,256066,135690,3906,4898,65,4963,2.370302475,3.038777908,277,274,4987,2896,17529,3.514938841,44,81,17711,4976.749444,
14,14,97,22986,22386,147,564,12,576,122.0714286,17.6185567,1,1,,,,,0,,0,,
18,3,2,1000,99,3,3502,2033,1469,929.3333333,1394,2,2,,,,,0,,0,,
17,3,,2122,27,3,,,,556.3333333,,2,2,,,,,0,,0,,
30,11,10,2354,754,22,4123,1828,2295,208.5454545,229.4,6,6,1,0,1,1,1,1,9,,
1,1,2,96,96,2,3303,75,3228,3192,1596,1,1,,,,,0,,0,,
1,,,2,,,,,,,,1,,,,,,0,,0,,
28,18,100,17696,13936,212,2645,1245,1400,142.6666667,25.68,2,2,1,0,0,0,1,0,0,,
17,13,14,3144,789,42,3423,449,2974,246.0769231,228.5,3,3,,,,,0,,0,,
38,24,16,1880,1278,37,727,566,161,127.3333333,191,3,3,,,,,0,,0,,
40140,224,154,47240,25573,409,5617,8,5609,22.50892857,32.74025974,65,64,37,20,52,1.405405405,1,28,52,843.5869097,
5,3,1,131,76,3,3837,3837,0,446.6666667,1340,2,2,,,,,0,,0,,3
40,34,15,1280,1167,48,1078,478,600,54.64705882,123.8666667,6,6,,,,,0,,0,,
599,153,226,11775,7235,406,1957,12,1969,21.75816993,14.7300885,21,21,238,77,1248,5.243697479,1355,57,10154,958.9084259,
2,1,1,229,101,1,3665,2306,1359,5276,5276,2,2,,,,,0,,0,,
24,14,14,2649,876,21,3022,27,3049,294.3571429,294.3571429,5,5,,,,,0,,0,,
68,56,144,129845,18403,327,3988,21,3967,71.60714286,27.84722222,7,6,,,,,0,,0,,
47,25,25,16437,3704,34,2343,71,2272,90.08,90.08,8,7,,,,,0,,0,,
28,,,230763,,,,,,,,4,4,257,106,1272,4.949416342,0,67,1272,4758.81485,
86,52,43,8033,7262,89,4755,3430,1325,16.32692308,20.70731707,3,4,,,,,0,,0,,
38,15,24,4312,1484,35,2300,278,2022,242.7333333,151.7083333,7,7,,,,,0,,0,,
14,6,3,2386,386,6,2986,344,2642,637.6666667,1275.333333,3,3,,,,,0,,0,,
77,47,38,8736,7286,76,3257,299,2958,60.34042553,74.63157895,12,12,,,,,0,,0,,
6,,,456,,,2409,1439,970,,,1,1,,,,,0,,0,,
1069,266,391,113799,61761,841,4474,888,3586,4.135338346,2.813299233,27,27,,,,,0,,0,,
4,3,,191,190,5,,,,858.3333333,,1,1,,,,,0,,0,,
2,2,2,117,52,4,3695,1945,1750,904.5,904.5,1,1,,,,,0,,0,,
61,38,26,3467,1848,67,3933,1553,2380,79.60526316,116.3461538,11,11,,,,,0,,0,,
170,7,7,3461,352,16,1804,52,1752,285.2857143,285.2857143,5,5,,,,,0,,0,,
15,11,11,601,404,28,2955,1697,1258,244.1818182,244.1818182,3,3,,,,,0,,0,,
688,1,4,307,296,5,1288,1288,0,225,56.25,2,1,,,,,0,,0,,
7,1,6,402,263,7,3589,3589,0,0,0,1,1,,,,,1,,1,,
7,6,14,1629,978,23,2311,2211,100,60.33333333,25.85714286,1,1,,,,,0,,0,,
70,44,40,3171,2181,70,3363,833,2530,74.59090909,82.05,12,12,,,,,0,,0,,
91,10,3,7939,227,18,3684,3684,0,241.4,804.6666667,5,5,,,,,0,,0,,
24,10,71,9907,3619,71,2379,1892,487,162.7,22.91549296,1,1,1,0,0,0,1,1,-1,,
4,1,2,216,196,2,21,21,0,2290,1145,1,1,,,,,0,,0,,
51,13,13,54013,1327,25,2225,2225,0,1183,1183,2,1,,,,,0,,0,,
1,1,,130,130,1,,,,272,,1,1,,,,,0,,0,,
542,26,11,1787,865,34,2518,2491,27,88.34615385,208.8181818,8,5,,,,,0,,0,,
52,29,19,6504,1821,43,1590,1399,191,38.72413793,59.10526316,2,2,,,,,0,,0,,
117,85,89,77506,5640,266,2913,300,2613,33.94117647,32.41573034,6,6,,,,,0,,0,,
1,,,114,0,,2072,2057,15,,,1,1,,,,,0,,0,,
13,6,8,1998,1021,10,1488,711,777,146.8333333,110.125,4,4,,,,,0,,0,,
2,1,1,79,73,2,3179,2402,777,753,753,1,1,,,,,0,,0,,
52,25,26,3721,2066,46,1324,638,686,59.6,57.30769231,4,4,1,0,5,5,0,1,5,,
504,379,428,92011,40046,903,4954,1603,3351,8.841688654,7.829439252,33,32,,,,,0,,0,,
28,15,7,1031,559,20,1779,271,1508,100.5333333,215.4285714,7,7,,,,,0,,0,,
3,2,2,186,119,2,929,518,411,1489.5,1489.5,1,1,1,0,0,0,1,1,0,,
17,15,26,3729,2865,41,2972,454,2518,194.8,112.3846154,4,4,,,,,0,,0,,
31,,,1477,,,1779,723,1056,,,2,2,1,0,0,0,0,1,0,,
129,17,20,23566,2820,41,4501,3074,1427,106.9411765,90.9,1,3,,,,,1,,6,,
41,30,14,3609,982,38,4136,1793,2343,55.7,119.3571429,5,6,,,,,0,,0,,
3,1,10,1297,784,13,1322,1322,0,842,84.2,1,1,,,,,0,,0,,
40,24,13,5793,1105,35,3337,376,2961,137.0416667,253,2,2,,,,,0,,0,,
5,4,22,1023,458,25,1388,191,1197,299.25,54.40909091,2,2,,,,,0,,0,,
607,25,100,20246,2964,140,1806,1,1807,144.72,36.18,8,7,,,,,0,,0,,
5,5,6,9629,9367,9,4153,873,3280,669,557.5,1,2,,,,,0,,0,,
7,3,3,458,139,3,2836,1134,1702,567.3333333,567.3333333,2,2,,,,,0,,0,,
239,59,104,30666,11304,253,1972,1517,455,12.95,6.475,4,2,,,,,0,,0,,
11,7,2,758,390,8,965,965,0,256.8571429,899,1,1,,,,,0,,0,,
165,94,126,28903,12479,182,1384,668,716,7.606382979,5.674603175,10,10,,,,,2,,6,,
42,23,63,34424,3223,112,1588,1087,501,45.47826087,16.6031746,12,12,13,1,11,0.846153846,1,10,11,-51.87790509,
556,172,142,24472,13006,334,4053,67,3986,18.97674419,22.98591549,11,11,1,1,3,3,0,1,3,,
108,39,120,151882,5152,227,2688,61,2749,76.82051282,24.96666667,8,8,,,,,0,,0,,
47,2,,437,71,2,1807,1300,507,1931.5,,2,4,,,,,0,,0,,
10,2,4,251,91,5,2588,743,1845,975.5,487.75,2,2,,,,,0,,0,,
399,68,82,66618,6545,134,2441,2,2443,39.13235294,32.45121951,10,10,1,1,3,3,5,1,18,,
1593,,,21,,,1886,1480,406,,,4,3,,,,,0,,0,,
340,30,34,5918,2296,55,3353,1854,1499,81.48148148,68.75,6,5,2,1,10,5,0,0,10,4.535949074,
3,2,2,220,191,2,5181,2997,2184,1092,1092,3,3,,,,,0,,0,,
306,62,99,61721,24110,181,4451,732,3719,59.46774194,37.24242424,10,10,,,,,0,,0,,
1,,,3,,,3362,874,2488,,,1,1,,,,,0,,0,,
1,1,,99,99,2,4566,3938,628,935,,1,1,,,,,0,,0,,
3,3,2,34,31,3,5211,646,4565,968.6666667,1453,1,1,24,5,34,1.416666667,0,18,34,3853.162951,
193,,1,1367,29,1,3427,3427,0,,,2,2,,,,,0,,0,,
122,72,59,11484,6119,154,2355,73,2282,38.06944444,46.45762712,8,7,,,,,1,,0,,
2,1,2,682,337,2,3790,3177,613,136,68,1,1,,,,,0,,0,,
231,1,1,142,107,1,3350,1397,1953,121,121,1,1,,,,,0,,0,,
16,3,1,584,113,4,4329,38,4291,2148,4296,3,3,,,,,0,,0,,
91,11,9,18169,1578,14,4837,79,4916,447.0909091,546.4444444,8,8,,,,,0,,0,,
5,4,3,1356,255,4,2249,1208,1041,356.25,475,3,3,,,,,0,,0,,
1,1,,2,7,1,,,,3024,,1,2,6,1,14,2.333333333,0,0,14,1020.807095,
108,94,42,4853,4308,178,2905,1518,1387,15.94680851,35.69047619,3,3,,,,,0,,0,,
4,2,,183,13,2,1447,846,601,417.5,,1,2,2,1,1,0.5,2,1,2,133.9531713,
2,1,2,112,75,2,1538,1391,147,362,181,1,1,,,,,0,,0,,
2753,56,227,935187,78788,500,1585,61,1646,39.55357143,9.757709251,28,27,4,4,5,1.25,4,4,9,735.9869792,5
79,10,11,19137,148,14,594,99,495,88.4,80.36363636,4,6,,,,,0,,0,,3
2,,,32,,,2136,1376,760,,,1,1,,,,,0,,0,,
1221,265,139,20782759,5424,338,1266,519,747,4.403773585,8.395683453,27,28,,,,,0,,0,,
43,17,16,1177,665,20,2234,413,1821,175.7647059,186.75,9,9,,,,,0,,0,,
2,2,2,42,42,2,1879,1358,521,642.5,642.5,1,1,25,6,67,2.68,8,16,86,3113.215926,
34,12,41,12134,3423,48,996,56,940,91.25,26.70731707,3,3,,,,,0,,0,,
3,1,1,3067,50,1,1696,1696,0,0,0,1,1,,,,,0,,0,,
130,37,11,7043,1834,42,2026,2,2024,51.08108108,171.8181818,7,8,13,4,8,0.615384615,1,10,8,326.2113773,
861,281,202,455899,5732,412,1024,73,951,8.099644128,11.26732673,23,23,2,1,2,1,3,2,5,10.89746528,
461,186,237,19634,13800,703,1626,77,1703,11.61290323,9.113924051,21,21,1,0,0,0,0,1,0,,
4,1,3,223,14,4,1746,652,1094,2838,946,1,1,,,,,0,,0,,
87,40,41,29035,2026,82,2891,21,2912,49.3,48.09756098,18,18,1,0,0,0,0,1,0,,
1,,,32,,,,,,,,1,,,,,,0,,0,,
46,30,58,6499,3097,110,1543,31,1512,64.2,33.20689655,7,7,3,2,3,1,1,1,2,1057.771713,
107,68,33,58181,6323,123,1433,540,893,13.11764706,27.03030303,11,11,1,0,3,3,1,0,4,,
32,24,10,4905,672,26,941,323,618,46.75,112.2,3,3,,,,,2,,0,,
79,42,18,3627,3310,47,2395,1301,1094,24.97619048,58.27777778,2,2,,,,,0,,0,,
198,47,26,22773,1379,60,2330,5,2325,79.91489362,144.4615385,3,4,23,5,274,11.91304348,6,11,347,716.9462384,5
29,14,5,2803,1641,16,420,274,146,27.14285714,76,4,4,40180,21236,136894,3.407018417,4,39,136959,3574.090694,
3,3,,300,108,5,1597,696,901,1068,,1,1,,,,,0,,0,,
6,5,1,424,243,31,3505,1916,1589,495.8,2479,1,1,2,0,13,6.5,1,0,15,2965.500995,
536,124,99,41637,7831,278,2098,107,1991,15.70491803,19.55102041,26,27,3,1,0,0,1,2,0,2878.626991,
574,,,,,,1056,939,117,,,1,1,,,,,0,,0,,
2,,,4,,,,,,,,1,1,,,,,0,,0,,
243,50,20,11545,9440,108,1836,978,858,16.42,41.05,5,4,,,,,0,,0,,
94,79,30,2302,1920,130,880,627,253,7.987341772,21.03333333,5,5,,,,,0,,0,,
10,6,4,366,112,6,847,388,459,76.5,114.75,3,3,,,,,0,,0,,
154,69,31,4470,2909,86,2167,1195,972,19.42028986,43.22580645,4,4,,,,,0,,0,,
7,,,37,,,1090,1078,12,,,1,1,,,,,0,,0,,
54,21,6,1845,812,25,879,147,732,60.9047619,213.1666667,6,5,,,,,0,,0,,
61,32,26,12297,822,66,1423,192,1231,40.4375,49.76923077,,1,,,,,0,,0,,
,1,,,1,1,,,,379,,,1,,,,,0,,0,,
262,34,30,33786,1510,70,1620,856,764,15.58823529,17.66666667,3,3,5,3,80,16,0,5,80,848.0703241,
19,8,12,4561,314,19,1830,1144,686,144.75,96.5,1,1,,,,,1,,0,,
26,12,22,13766,4426,43,1085,715,370,42.81818182,22.42857143,6,4,,,,,0,,0,,
44,14,12,1896,690,19,1920,715,1205,124.9285714,145.75,7,7,,,,,0,,0,,
57,48,18,2084,1061,74,1083,1078,5,0.041666667,0.111111111,1,1,,,,,0,,0,,4
368,105,156,39497,23544,257,1286,57,1343,17.87619048,12.03205128,15,15,6,0,3,0.5,3,2,10,650.6675463,
3,1,1,116,111,1,85,75,10,409,409,1,1,,,,,0,,0,,
109,40,23,10032,5079,62,820,633,187,23.225,40.39130435,11,11,4,1,1,0.25,0,2,1,210.5447106,
3,1,,135,32,1,3019,3019,0,992,,1,1,,,,,0,,0,,
22,17,16,3332,1966,30,1373,189,1184,73.35294118,77.9375,2,2,,,,,0,,0,,
11,9,17,5699,3486,26,1062,332,730,81.33333333,43.05882353,4,4,,,,,0,,0,,
87,36,32,7291,2281,67,587,399,188,20.16666667,22.6875,2,2,,,,,0,,0,,4
12,9,9,1185,1103,20,29,19,10,186.1111111,186.1111111,1,1,,,,,0,,0,,
8,3,1,385,267,3,3937,3937,0,60.66666667,182,1,1,2,0,3,1.5,0,0,3,3749.856597,1
28,19,2,1005,808,22,733,539,194,36.15789474,343.5,4,4,5,1,238,47.6,9,3,255,222.6231597,
4,3,1,162,124,4,2322,2322,0,63.33333333,190,1,1,142,69,499,3.514084507,0,86,499,118.9475579,
3,3,2,340,136,3,1777,1777,0,3.333333333,5,2,2,,,,,0,,0,,
967,93,43,13205,3019,123,920,101,819,22.58064516,48.8372093,14,14,,,,,0,,0,,
28,2,1,2457,415,2,1133,256,877,492.5,985,1,1,11,8,8,0.727272727,0,8,8,2007.937373,
1,,,2,,,1110,989,121,,,1,1,,,,,0,,0,,
11,5,11,1501,939,15,1672,70,1742,348.2,158.2727273,3,3,,,,,0,,0,,
23,10,1,505,451,10,1382,577,805,121.7,1217,2,2,,,,,0,,0,,
266,2,11,990,823,17,2245,190,2055,1005,182.7272727,5,5,23,8,253,11,2,16,256,105.0747338,
1,,,2,,,,,,,,1,1,,,,,0,,0,,
24,9,10,774,131,19,3394,2550,844,321.2222222,289.1,11,12,1,1,1,1,0,1,1,,
,1,1,27,31,2,2157,2104,53,2032,2032,,1,,,,,0,,0,,
20,11,18,50414,2125,30,3312,41,3271,342,209,6,6,,,,,0,,0,,
91,61,102,2981399,5287,201,3888,163,3725,61.06557377,36.51960784,7,8,,,,,0,,0,,
2170,465,343,146017,34290,1349,3915,73,3988,7.156989247,9.702623907,28,27,21,12,73,3.476190476,1,19,97,3533.10662,
1,,1,703,252,2,,,,,,1,,,,,,0,,0,,
12,1,1,1191,52,2,5398,3174,2224,1969,1969,1,1,,,,,0,,0,,
1999,9,7,1141,424,11,4790,1668,3122,266.1111111,342.1428571,8,7,,,,,0,,0,,
14,10,4,7447,322,13,2525,695,1830,199.4,498.5,1,2,,,,,0,,0,,
1,1,1,4,15,1,3598,3598,0,415,415,,1,,,,,0,,0,,
523,144,225,237606,35891,482,2942,1483,1459,11.11111111,7.111111111,21,21,36,12,91,2.527777778,25,16,170,2402.731563,
1399,209,166,38977,13515,455,5172,30,5142,24.53110048,30.88554217,39,38,,,,,0,,0,,
335,3,2,1749,140,4,2609,2546,63,,,1,1,,,,,0,,0,,
403,2,1,15328,376,3,3520,3520,0,1402,2804,5,6,,,,,0,,0,,
639,82,83,14079,5055,243,2210,1039,1171,36.19512195,35.75903614,5,5,,,,,0,,0,,
1100,51,19,6621,3611,84,4825,4473,352,65.29411765,175.2631579,4,3,,,,,0,,0,,
5,5,1,123,105,5,1221,1221,0,115.6,578,1,1,,,,,0,,0,,
6,3,14,655,353,18,3739,1582,2157,719,154.0714286,2,2,1,0,0,0,0,1,0,,
229,115,97,113165,11886,323,2693,1664,1029,24,28.45360825,7,7,2,1,10,5,0,2,10,67.6644213,
26,20,27,3729,2765,71,1527,4,1531,211.85,156.9259259,1,1,,,,,0,,0,,
10,5,,70,25,7,,,,637.2,,2,2,,,,,0,,0,,
14,10,4,1578,897,11,3574,1693,1881,198.7,496.75,5,5,,,,,0,,0,,
16,12,6,807,706,28,1780,671,1109,127.0833333,254.1666667,1,1,3,1,3,1,0,3,3,287.0510648,
271,129,259,136702,32065,398,3598,2,3600,29,14.44401544,42,42,7,0,22,3.142857143,0,1,22,2502.880139,
1086,113,124,29802,12667,264,4824,2000,2824,24.47787611,22.30645161,17,17,1,1,1,1,0,1,1,,
857,113,219,38847,15138,406,1408,41,1449,21.33628319,11.00913242,14,12,10,3,2,0.2,2,9,2,567.2865972,
118,1,3,313,258,3,1942,1942,0,1180,393.3333333,2,1,3,0,400,133.3333333,3,1,411,770.3991435,
225,53,56,5252,3022,92,1206,371,835,68.56603774,64.89285714,13,13,,,,,1,,0,,
9,6,2,217,93,6,3139,1335,1804,297.8333333,893.5,2,2,,,,,0,,0,,
1,1,,18,7,1,,,,2963,,1,1,3,2,2,0.666666667,0,1,2,163.4992477,
1,1,,12,12,1,,,,1316,,1,1,,,,,0,,0,,
25,6,18,15233,5030,48,882,394,488,258.3333333,86.11111111,1,1,,,,,3,,0,,
124,89,144,35449,29233,373,2496,464,2032,29.91011236,18.48611111,7,7,,,,,0,,0,,
189,151,229,91098,83722,488,3010,2841,169,14.0397351,9.257641921,11,11,,,,,0,,0,,
509,172,88,109345,12522,265,3419,215,3204,18.66860465,36.48863636,26,27,,,,,0,,0,,
168,107,51,9605,4648,152,3243,1445,1798,12.56074766,26.35294118,14,14,,,,,0,,0,,
732,23,45,17039,6317,112,3211,322,2889,133.2608696,68.11111111,6,9,3,0,2,0.666666667,0,2,2,3190.687986,
50,17,4,2483,414,18,3485,3235,250,104.6470588,444.75,5,3,,,,,0,,0,,
372,122,41,253246,2781,131,4997,458,4539,37.43442623,111.3902439,25,25,,,,,0,,0,,
1,1,,78,78,2,,,,0,,1,1,,,,,0,,0,,
17,12,1,3448,138,12,181,181,0,35.08333333,421,1,1,,,,,0,,0,,
560,106,89,212862,7281,183,2486,878,1608,26.85849057,31.98876404,18,18,,,,,0,,0,,
57,45,41,36554,3417,85,1531,40,1571,41.31111111,45.34146341,4,5,1,0,11,11,1,0,29,,
70,41,65,109745,5184,115,4953,3422,1531,48.94285714,59.06896552,6,7,1,0,0,0,2,0,1,,
13,5,19,1591,1299,24,3633,1135,2498,603.4,158.7894737,4,5,10,5,23,2.3,0,9,23,184.3295255,
8,1,6,737,536,7,2299,1543,756,3028,504.6666667,1,1,,,,,0,,0,,
48,33,54,9425,8115,81,3242,753,2489,89.80645161,69.6,4,4,,,,,0,,0,,
11,3,3,4745,225,4,4987,1747,3240,1135.333333,1135.333333,3,1,,,,,0,,0,,
3,3,2,113,91,7,2610,449,2161,659,988.5,1,1,3,0,14,4.666666667,0,0,14,2131.119931,
194,21,19,6432,2485,43,4859,3447,1412,81.85714286,90.47368421,6,6,,,,,0,,0,,
13,8,5,4827,2610,17,3683,2355,1328,401.625,642.6,3,3,,,,,0,,0,,
