number_of_commits,commits_client_files,commits_import_library,code_churn,code_churn_client_files,imports,days_since_first_import,days_since_last_import,days_between_imports,avg_days_commits_client_files,avg_days_commits_import_library,projects,projects_import,Num_Answers,Num_Accepted_Answers,Num_Upvotes,Avg_Score_Per_Answer,Num_Questions,Num_First_Answers,Tag_Score,time_of_activity,rating
1,1,,11,11,1,3659,3474,185,508,,1,1,,,,,0,,0,,
6,3,1,663,67,3,3623,3445,178,124.3333333,373,2,2,1,0,1,1,0,0,1,,
296,192,453,118923,101485,996,5001,42,5043,20.078125,8.509933775,19,18,1,0,16,16,0,0,16,,
1,1,1,25,18,3,2833,1092,1741,2012,2012,1,1,,,,,0,,0,,
63,52,38,6497,3929,123,2734,786,1948,48.55769231,66.44736842,3,3,1,1,0,0,1,0,0,,
100,45,62,13505,8676,235,3914,1275,2639,68.35555556,49.61290323,5,4,30,17,85,2.833333333,0,24,85,206.7007755,
1,1,4,1458,651,12,3567,3567,0,115,28.75,1,1,,,,,0,,0,,
4,1,1,302,64,1,4131,4131,0,650,650,3,3,1,0,1,1,1,0,8,,
4,2,7,2305,2282,35,564,553,11,588.5,168.1428571,1,1,,,,,0,,0,,
198,22,27,5119,2690,62,4123,2784,1339,41.13636364,33.51851852,6,5,3,1,24,8,2,0,48,16.99784722,
635,51,326,42700,37638,514,3303,75,3228,72.94117647,11.41104294,20,20,,,,,0,,0,,
22,5,3,3023,419,14,2645,1245,1400,768.4,1280.666667,3,3,,,,,0,,0,,
5,1,1,2793,3,1,3423,449,2974,3402,3402,2,2,,,,,0,,0,,
15,12,27,10811,1213,40,3245,2687,558,46.5,20.66666667,4,4,3,0,2,0.666666667,4,2,27,893.9563194,
2,1,4,837,158,4,3837,531,3306,3307,826.75,1,1,,,,,0,,0,,
17,6,83,14886,12900,184,3665,2306,1359,822.6666667,59.46987952,4,4,,,,,0,,0,,
104,1,3,789,458,4,3022,3022,0,1380,460,2,2,2,2,6,3,3,2,9,15.08344907,
3,1,1,6,2,1,2343,957,1386,1366,1366,1,1,,,,,0,,0,,
1,,,5,,,,,,,,1,1,83,41,243,2.927710843,0,57,243,4119.595255,
13,10,82,7071,5753,112,2649,696,1953,246.8,30.09756098,4,4,,,,,0,,0,,
68,37,107,57813,12684,165,2986,1216,1770,79.45945946,27.47663551,12,12,4,1,9,2.25,0,3,9,1645.575289,
508,116,581,470143,96167,1123,3257,299,2958,23.72413793,4.736660929,18,18,,,,,0,,0,,
376,1,1,587,50,3,2409,2409,0,2777,2777,3,2,,,,,2,,6,,
2,,,13,,,4474,888,3586,,,1,1,,,,,0,,0,,
3,2,1,272,270,2,3695,3695,0,29.5,59,1,1,11,1,13,1.181818182,0,6,13,295.9212037,
2,2,,3,3,2,,,,796,,1,1,,,,,1,,11,,
22,7,14,5234,989,19,3933,2314,1619,153.7142857,76.85714286,2,2,,,,,0,,0,,
1,,,58,,,1804,356,1448,,,1,1,,,,,0,,0,,
55,27,107,10417,6742,204,2955,2328,627,33.03703704,8.336448598,3,3,3,1,14,4.666666667,4,3,16,149.1222222,
2,2,1,23,17,2,2311,2311,0,172.5,345,1,1,,,,,0,,0,,
3,3,14,2273,528,17,2072,2057,15,116,24.85714286,1,1,,,,,0,,0,,
446,2,68,8686,4754,81,2169,2169,0,10,0.294117647,3,3,18,6,76,4.222222222,0,4,76,1914.569016,
16,14,15,89271,583,37,1779,1766,13,0,0,1,1,,,,,0,,0,,
210,166,421,74519,28394,850,3736,2411,1325,4.963855422,1.957244656,12,12,4,2,3,0.75,0,2,3,8.046087963,
279,101,68,328151,317616,234,4501,3631,870,14.27722772,21.20588235,13,13,,,,,0,,0,,
291,11,120,15474,8756,153,3574,2845,729,75,6.875,5,5,,,,,0,,0,,
35,8,41,13679,10932,49,4136,1793,2343,125,24.3902439,3,3,,,,,0,,0,,
2,2,1,418,414,2,3337,3337,0,164,328,1,1,,,,,0,,0,,
6,3,,19,18,3,,,,0,,1,1,131,9,89,0.679389313,11,100,101,3012.324711,
18,1,35,16594,5251,42,2836,2836,0,0,0,2,1,1,1,0,0,1,1,1,,
14,1,,253,9,4,965,965,0,2828,,1,1,,,,,0,,0,,
30,3,5,1082,400,11,1588,810,778,372.3333333,223.4,3,3,,,,,0,,0,,
89,76,162,22061,8478,270,2588,743,1845,26.32894737,12.35185185,19,19,,,,,0,,0,,
15,9,11,1665,742,33,2262,2254,8,159.3333333,130.3636364,2,2,,,,,0,,0,,
5,,,787,,,2441,2435,6,,,1,1,,,,,1,,0,,
10,7,41,4505,2317,56,1886,1035,851,448.5714286,76.58536585,3,3,,,,,0,,0,,
177,124,136,62291,18643,323,3353,2196,1157,14.91129032,13.59558824,7,6,7,3,7,1,0,3,7,827.7614931,
4,,,44,,,,,,,,1,1,1,1,2,2,0,0,2,,
460,157,581,132235,90980,1099,3618,907,2711,22.78980892,6.158347676,32,32,,,,,0,,0,,
4721,242,604,168922,29468,914,4070,95,3975,17.79752066,7.130794702,47,47,,,,,0,,0,,
1969,236,568,122227,29743,814,4310,43,4353,18.77966102,7.802816901,52,50,818,419,6425,7.854523227,0,60,6425,4660.491991,
52,37,166,27694,11916,209,3408,70,3478,106.3783784,23.71084337,12,11,47,26,108,2.29787234,0,42,108,3733.365521,
2633,408,1019,230458,80069,1614,4936,79,5015,11.83333333,4.73797841,72,70,662,370,4909,7.415407855,1,86,4911,3881.117581,
3715,91,279,58508,42255,455,3362,874,2488,26.83516484,8.752688172,14,14,18,7,29,1.611111111,0,17,29,344.8915394,
1119,355,800,91537,65753,1644,4566,60,4626,12.52112676,5.55625,33,33,1,0,1,1,1,1,4,,
736,503,917,495214,51862,1518,5211,20,5231,9.761431412,5.354416576,85,82,4703,1843,10336,2.197746119,69,34,10634,5342.670856,
3180,360,661,154388,77695,1365,4612,61,4673,12.31666667,6.708018154,42,43,,,,,0,,0,,
2960,196,360,65253,30980,1024,3186,76,3262,20.65816327,11.24722222,44,44,6652,4239,12555,1.887402285,5,89,12636,370.5590162,
2502,243,550,50467,26377,910,3427,26,3401,17.59670782,7.774545455,36,37,86,50,430,5,0,75,430,2808.688542,
253,43,83,171312,2489,182,2141,1259,882,37.30232558,19.3253012,76,74,,,,,0,,0,,
1375,478,1302,659798,94311,2275,3822,74,3896,8.150627615,2.992319508,116,115,,,,,0,,0,,
52,13,21,3290,898,37,2355,24,2331,258.1538462,159.8095238,6,6,,,,,2,,1,,
1646,159,354,280090,18885,521,3790,70,3860,23.45283019,10.53389831,37,37,70,22,193,2.757142857,1,67,195,2118.956308,
3839,499,1364,454213,91178,2994,3489,5,3494,6.987975952,2.556451613,93,92,10,2,18,1.8,0,4,18,1132.424282,
1023,655,596,58977,39924,2927,4329,38,4291,6.899236641,7.582214765,75,76,28,5,22,0.785714286,0,18,22,28.2321412,
3655,204,690,240156,57311,1290,3738,12,3750,9.083333333,2.685507246,59,59,50,27,60,1.2,0,45,60,2110.088171,
4914,1704,5036,1168609,425754,7916,4837,79,4916,2.944835681,0.996425735,329,324,,,,,0,,0,,
220,139,407,106830,46455,616,2643,69,2574,19.9352518,6.808353808,19,20,33,10,29,0.878787879,4,24,42,2852.025093,
155,110,259,29062,16029,521,2249,465,1784,19.61818182,8.332046332,11,11,,,,,0,,0,,
1,,,260,,,,,,,,1,1,,,,,0,,0,,
82,36,60,5723,1960,136,2234,2224,10,32.19444444,19.31666667,1,2,,,,,0,,0,,
100,1,1,2745,46,1,3104,3104,0,0,0,1,1,,,,,0,,0,,2
2,,2,403,60,2,1879,1838,41,,447,1,1,,,,,0,,0,,
39,30,35,4490,3534,64,2026,1005,1021,18.23333333,15.62857143,2,2,,,,,0,,0,,
5,3,10,2214,1254,13,2891,21,2912,394,78.8,3,2,,,,,0,,0,,
36,19,21,7338,2904,42,1433,976,457,34.21052632,30.95238095,4,4,1,0,2,2,0,0,2,,
202,18,42,17462,1700,67,2395,448,1947,108.2222222,46.38095238,10,11,2,0,33,16.5,0,0,33,137.0287731,
4,1,1,52,17,1,420,420,0,234,234,1,1,160,60,245,1.53125,0,90,245,3076.385417,
4083,259,597,58023,26569,1057,1771,18,1789,7.162162162,3.10720268,15,14,,,,,0,,0,,
44,3,,1298,167,3,,,,418.3333333,,5,5,,,,,1,,0,,
1170,201,346,131819,23023,1104,3505,43,3548,17.395,10.17251462,113,109,11,1,74,6.727272727,7,2,354,2349.564028,
30,12,16,1621,961,29,1102,569,533,42.75,32.0625,1,1,,,,,0,,0,,
73,21,86,8575,7134,151,2167,1775,392,21.80952381,5.325581395,3,3,,,,,0,,0,,
387,16,29,14824,11552,156,1423,57,1366,89.4375,49.34482759,4,3,,,,,0,,0,,
20,7,12,1815,762,21,2618,1810,808,115.2857143,67.25,5,6,2,0,-1,-0.5,0,1,-1,454.9555671,
91,40,132,14344,6419,186,1428,434,994,43.275,13.11363636,9,8,30,13,55,1.833333333,1,16,63,256.9825,
9,6,9,927,865,34,1830,1175,655,189.3333333,126.2222222,2,2,,,,,0,,0,,
107,60,94,12843,4567,145,1920,150,1770,38.55,24.60638298,11,11,,,,,0,,0,,
11,4,8,3606,3526,13,85,75,10,102.25,51.125,4,4,,,,,0,,0,,
13,1,5,966,169,6,820,820,0,274,54.8,2,2,,,,,0,,0,,
2,2,,64,64,2,3019,3019,0,387.5,,1,1,,,,,0,,0,,
63,45,85,25350,8055,140,1373,874,499,16,7.291139241,14,14,,,,,0,,0,,
6,4,8,1437,436,10,1062,141,921,230.75,115.375,1,1,,,,,0,,0,,
58,45,99,21042,15028,196,587,349,238,16.82222222,7.646464646,1,1,,,,,0,,0,,5
3253,46,91,51997,40977,151,3937,193,3744,85.32608696,43.13186813,12,12,48,2,366,7.625,0,2,366,4231.007662,4
99,68,339,198131,44797,590,1753,1223,530,9.485294118,1.902654867,9,8,4,1,2,0.5,0,4,2,188.0643056,
6,3,30,3307,2287,32,733,539,194,176,17.6,1,1,,,,,0,,0,,
44,3,9,52151,6735,38,1225,1127,98,32,10.66666667,2,2,,,,,0,,0,,
4,1,2,1988,1958,2,2131,2131,0,62,31,1,1,10,0,-1,-0.1,11,4,1321,1268.026285,
9,5,7,9258,8886,49,1777,153,1624,325.4,232.4285714,2,2,,,,,0,,0,,
29,17,34,8268,2984,45,1672,90,1582,93.05882353,46.52941176,5,5,1,0,3,3,0,0,3,,
12,10,147,610395,5256,168,1382,672,710,77.8,5.292517007,1,1,,,,,0,,0,,
1,1,17,1317,1325,21,2245,1728,517,492,28.94117647,1,1,,,,,0,,0,,
14,6,8,3214,3041,105,3394,2901,493,237.3333333,178,2,2,,,,,0,,0,,
2,2,9,443,271,13,3312,229,3083,533.5,118.5555556,2,2,,,,,0,,0,,
55,38,117,19005,15312,177,3888,1064,2824,34,11.04273504,10,10,,,,,0,,0,,
53,24,36,9820,3089,104,3915,73,3988,124.9583333,83.30555556,8,8,2,1,2,1,0,2,2,66.13152778,
13,5,3,1539,1115,15,5398,5398,0,51,85,1,1,,,,,0,,0,,
1925,10,24,9435,4492,61,4790,3341,1449,202.6,84.41666667,5,4,1,0,0,0,0,1,0,,
4,1,1,484,13,1,3598,2863,735,1173,1173,1,1,,,,,0,,0,,
29,21,31,4304,1882,53,2609,2546,63,46.66666667,31.61290323,2,1,,,,,0,,0,,
9,1,,17182,4,1,3520,3520,0,2482,,1,1,1,1,0,0,0,1,0,,
10,8,6,263,197,14,3326,3326,0,154.375,205.8333333,1,1,,,,,0,,0,,
58,53,84,3641,2148,139,3739,2519,1220,23.01886792,14.52380952,4,4,1,0,1,1,3,0,13,,
312,1,,14,13,1,2693,1664,1029,2038,,2,2,,,,,0,,0,,
42,34,16,3175,1561,47,1780,1675,105,15.41176471,32.75,3,3,2,1,0,0,0,1,0,285.8551736,
12,9,18,2487,1169,26,3598,764,2834,330.1111111,165.0555556,4,4,1,0,2,2,0,0,2,,
44,41,75,10224,8405,238,3883,3104,779,9.024390244,4.933333333,3,3,9,5,179,19.88888889,0,6,179,914.1965625,
17,15,16,1711,1322,41,4824,3320,1504,100.3333333,94.0625,1,1,,,,,0,,0,,
432,,,,,,,,,,,1,,,,,,2,,10,,
60,20,42,4369,2837,114,2866,2048,818,103.95,49.5,4,4,5,1,2,0.4,0,5,2,1329.991806,
15,,,1082,,,,,,,,2,1,1,0,0,0,0,0,0,,
13,5,13,3302,1987,31,3139,2485,654,198.8,76.46153846,1,1,,,,,0,,0,,
1,,,4,,,,,,,,1,,5,1,7,1.4,2,1,12,366.6624769,
3,1,1,832,75,1,3419,2088,1331,1338,1338,1,1,,,,,0,,0,,
16,9,12,1097,896,24,1938,1812,126,1.666666667,1.25,1,1,,,,,0,,0,,
2,,,0,,,3211,2868,343,,,1,1,,,,,0,,0,,
9,2,6,1565,284,6,181,40,221,321,107,2,2,,,,,0,,0,,
886,41,163,30019,27040,313,2486,878,1608,64,16.09815951,7,7,,,,,0,,0,,
11,8,24,3905,3324,41,4953,2975,1978,513.125,171.0416667,4,4,,,,,0,,0,,
1,,,20,,,,,,,,1,1,,,,,0,,0,,
142,115,109,31397,10695,291,3514,2690,824,7.052173913,7.440366972,4,4,1,0,0,0,1,0,0,,
10,6,10,3452,2636,12,4987,271,4716,797,478.2,3,3,,,,,0,,0,,
13,4,67,12031,11514,78,2610,637,1973,5.75,0.343283582,1,2,,,,,0,,0,,
3,,,210,,,2464,2464,0,,,1,1,,,,,0,,0,,
1,,,0,,,4859,3447,1412,,,1,1,,,,,0,,0,,
58,41,194,42499,27741,337,3469,2736,733,13.53658537,2.860824742,8,8,,,,,0,,0,,
6,4,1,70,61,4,3194,57,3251,947.25,3789,1,1,,,,,0,,0,,
24,19,53,6103,5107,84,2988,2941,47,2.473684211,0.886792453,3,3,5,2,4,0.8,0,5,4,2306.084676,
2,1,3,334,198,3,3695,3256,439,153,51,1,1,,,,,0,,0,,
1,,,2,,,1886,1886,0,,,1,1,,,,,0,,0,,
11,7,15,3358,1297,27,4750,4345,405,212.1428571,99,3,4,,,,,0,,0,,
18,14,24,11601,4321,39,2968,1684,1284,25.57142857,14.91666667,4,4,7,3,4,0.571428571,8,6,8,2055.74206,
62,56,187,65234,64728,315,4535,4245,290,10.51785714,3.14973262,17,17,1,0,0,0,0,1,0,,
1,1,1,22,22,1,3037,2909,128,972,972,1,1,,,,,0,,0,,
2,2,11,2040,258,12,125,23,102,544,98.90909091,2,2,,,,,0,,0,,
65,27,58,4295,2026,94,2821,1303,1518,56.18518519,26.15517241,10,10,19,5,22,1.157894737,10,12,30,290.1583565,
21,11,24,3357,2153,41,3463,1842,1621,102.6363636,47.04166667,6,5,,,,,0,,0,,
1,1,6,989,482,7,2712,2471,241,610,101.6666667,1,1,,,,,0,,0,,
8,2,15,27059,840,23,2028,771,1257,1470,1470,3,2,,,,,0,,0,,
84,43,172,49229,37179,417,4248,189,4059,99.65116279,24.9127907,22,21,10,0,0,0,0,10,0,386.1359954,
1,,,5,,,,,,,,1,,,,,,0,,0,,
3,1,11,2738,2390,13,3771,3771,0,0,0,1,1,,,,,0,,0,,
3,3,5,580,529,46,4618,1384,3234,548.6666667,329.2,1,1,,,,,0,,0,,
3,3,8,220,220,12,3040,3024,16,5.333333333,2,1,1,,,,,0,,0,,
11,1,,90,12,1,,,,2553,,2,2,,,,,0,,0,,
21,15,18,4558,2921,48,4710,2298,2412,202.4666667,168.7222222,2,2,,,,,0,,0,,
302,14,10,1887,644,20,2109,349,1760,137.6428571,192.7,6,5,1,0,0,0,0,0,0,,5
8,5,4,1583,564,13,2302,1639,663,262.2,327.75,1,1,,,,,0,,0,,
352,88,260,19568,10374,410,3075,1338,1737,19.65909091,6.653846154,14,15,,,,,0,,0,,
6,2,1,137,101,3,3959,3335,624,312,624,2,1,,,,,1,,-1,,
2,2,25,1702,1414,50,4401,1478,2923,1816,145.28,1,1,,,,,0,,0,,
24,1,8,5117,363,8,2377,1361,1016,1016,169.3333333,2,1,,,,,0,,0,,
34,15,12,1203,865,38,449,36,485,40.53333333,50.66666667,3,3,,,,,0,,0,,4
407,,,,,,,,,,,1,,,,,,0,,0,,
134,77,261,14994,10780,404,992,40,1032,16.76623377,4.946360153,10,10,,,,,0,,0,,
1526,152,121,44577,11305,395,1850,1639,211,8.151315789,10.23966942,9,9,,,,,0,,0,,
14,5,43,19266,6715,67,1403,944,459,137.4,15.97674419,4,4,,,,,0,,0,,
15,8,76,14231,5370,143,1532,1337,195,27.85714286,3.482142857,3,2,,,,,0,,0,,
19,14,59,4153,2186,82,1321,1009,312,29.28571429,6.949152542,1,1,,,,,0,,0,,
187,84,77,3866,3088,194,196,184,12,13.11904762,14.31168831,2,2,,,,,0,,0,,
14,6,6,263,216,6,2163,489,1674,287,287,1,1,,,,,0,,0,,
17,12,113,9404,8558,154,1946,1553,393,51.45454545,37.73333333,2,1,,,,,0,,0,,
24,13,26,4997,1122,38,1910,1169,741,59.15384615,29.57692308,4,4,,,,,0,,0,,
116,88,167,150337,16395,309,2311,107,2204,25.28409091,13.32335329,9,8,,,,,0,,0,,
2,2,10,618,269,10,1326,704,622,878.5,175.7,1,1,,,,,0,,0,,
11,9,9,474,468,14,1597,1559,38,11.875,10.55555556,2,1,,,,,0,,0,,
11,8,7,686,425,18,1042,170,872,146,166.8571429,3,3,,,,,0,,0,,
10,7,56,8838,4209,75,1890,1275,615,87.57142857,10.94642857,3,3,,,,,0,,0,,
1,,,13,,,1621,822,799,,,1,1,,,,,0,,0,,
77,3,4,2014,184,5,4470,289,4181,1140.333333,855.25,2,2,,,,,0,,0,,
16,14,5,565,553,16,2680,2346,334,51.92857143,145.4,1,1,,,,,0,,0,,
1,1,12,11389,1232,12,1055,212,843,2192,182.6666667,1,1,,,,,0,,0,,
2,1,2,176,78,5,2074,2074,0,880,440,1,1,,,,,0,,0,,
121,78,79,24427,19882,254,2387,819,1568,17.35897436,17.13924051,14,12,1,0,0,0,0,0,0,,
361,109,187,118133,103796,434,4505,448,4057,37.21100917,21.68983957,13,13,,,,,0,,0,,
4,4,6,185,142,21,2352,1152,1200,540.5,360.3333333,2,2,,,,,0,,0,,
1,,,2,,,,,,,,1,1,,,,,0,,0,,
82,65,149,10181,7496,323,3697,3217,480,23.30769231,10.16778523,4,4,1,0,3,3,3,1,8,,
131,2,10,1813,338,12,1779,430,1349,923.5,184.7,2,2,,,,,0,,0,,
13,13,2,19957,2309,61,2287,2198,89,70.23076923,456.5,1,1,,,,,0,,0,,
236,79,508,81222,53267,650,2935,871,2064,29.25316456,4.549212598,11,11,,,,,0,,0,,
40,25,153,74956,11028,341,708,63,645,13.84,2.261437908,2,3,10,2,15,1.5,1,9,16,3126.194988,
127,81,105,13235,10840,241,1646,1321,325,11.02469136,8.504761905,5,5,,,,,0,,0,,
122,91,163,58393,42637,551,3218,2967,251,2.230769231,1.245398773,3,3,,,,,0,,0,,
10,2,4,1284,435,7,3356,162,3194,1784,892,1,2,4,0,4,1,0,2,4,203.858669,
30,26,22,1625,1560,65,4183,3289,894,17.34615385,20.5,1,1,21,8,74,3.523809524,3,14,100,1700.949317,
3,2,,68,43,2,,,,360.5,,1,1,,,,,0,,0,,
8,6,18,2641,866,25,4610,4599,11,141.3333333,47.11111111,2,2,,,,,0,,0,,
599,26,7,28504,27937,116,792,330,462,135.0769231,501.7142857,2,2,,,,,0,,0,,
122,87,491,184189,28920,937,2418,822,1596,18.33333333,3.248472505,10,10,6,0,9,1.5,8,3,22,1455.843704,
486,14,17,1729,1412,45,3314,3016,298,16.78571429,13.82352941,4,3,385,123,982,2.550649351,17,79,1017,22.29232639,
1,1,,6,6,1,2725,2139,586,1996,,1,1,,,,,0,,0,,
2,2,,18,24,3,4097,3387,710,404.5,,1,1,,,,,0,,0,,
118,95,114,628885,14749,265,3671,2979,692,6.189473684,5.157894737,5,5,,,,,0,,0,,
18,16,5,1588,1413,26,1909,1903,6,9.75,31.2,2,2,1,0,0,0,6,0,23,,
6,1,8,8238,1721,10,2066,1994,72,972,121.5,2,1,,,,,0,,0,,
4808,346,715,231278,204911,1569,3847,1533,2314,9.60982659,4.65034965,36,34,5,3,87,17.4,15,3,121,-264.3413889,
24,15,10,973,503,21,1556,1555,1,59.66666667,89.5,1,1,,,,,0,,0,,
518,202,343,73588,39131,672,2725,1441,1284,7.178217822,4.227405248,20,20,4,0,182,45.5,0,0,182,732.5614583,
1012,175,201,22265,11931,354,4057,1603,2454,13.27428571,11.55721393,30,30,,,,,0,,0,,
56,46,74,5506,3800,239,3518,1230,2288,9.304347826,5.783783784,1,1,,,,,0,,0,,
11,2,4,544,96,4,1638,1638,0,1062.5,531.25,2,1,5,2,4,0.8,0,3,4,25.94756944,
5,4,16,1932,1432,25,5303,5302,1,46,11.5,1,1,191,74,186,0.97382199,6,45,461,156.4053125,
5,4,12,547,501,15,2831,2818,13,3.25,1.083333333,2,2,,,,,0,,0,,
4,3,19,14053,1659,21,4919,4770,149,55.33333333,8.736842105,2,2,,,,,0,,0,,
19,16,30,8725,3365,56,2293,1930,363,70.375,37.53333333,6,6,,,,,0,,0,,
41,14,30,17199,4930,59,2511,1515,996,120.5,56.23333333,5,4,,,,,0,,0,,
1239,65,61,187699,12192,162,4747,21,4726,47.29230769,50.39344262,16,20,1,0,7,7,0,0,7,,
9,7,29,10086,4236,45,2533,2303,230,78.42857143,18.93103448,1,1,,,,,0,,0,,
236,22,21,2946,2647,123,1221,627,594,101.6818182,106.5238095,3,3,7,4,13,1.857142857,0,6,13,1770.120532,
16,10,25,7633,4067,46,926,924,2,147.1,58.84,1,1,,,,,0,,0,,
266,156,353,32029,22769,856,2592,49,2641,12.56410256,5.552407932,7,5,1,0,1,1,1,1,1,,
102,53,72,10427,4153,147,2516,2297,219,5.188679245,3.819444444,7,7,4,0,26,6.5,1,0,28,135.9256134,
5,2,10,537,508,10,3486,3422,64,32,6.4,2,2,1,0,0,0,0,0,0,,
4,1,10,17184,2562,11,1492,1492,0,2608,260.8,1,1,,,,,0,,0,,
19,9,8,1878,966,17,2938,1658,1280,4.666666667,5.25,1,1,,,,,0,,0,,
10,6,20,23058,3994,37,4430,2745,1685,52,15.6,1,1,7,4,24,3.428571429,7,5,61,182.89125,
24,6,9,12417,8740,11,2803,281,2522,800.1666667,533.4444444,2,2,,,,,0,,0,,
57,36,47,14771,3234,106,4666,65,4731,154.1944444,118.106383,6,6,,,,,0,,0,,
1,,,2,,,,,,,,1,1,,,,,0,,0,,
1,1,,22,22,1,,,,2582,,1,1,,,,,0,,0,,
73,34,60,34939,3969,147,2436,391,2045,69.02941176,39.11666667,8,9,,,,,0,,0,,
131,63,162,195944,11011,329,4173,916,3257,58.6984127,22.82716049,19,19,2,1,4,2,1,2,8,689.7437037,
9,9,7,2427,2427,29,2555,2534,21,0,0,1,1,,,,,0,,0,,
265,21,67,24304,10459,133,3774,1649,2125,94.42857143,29.59701493,4,4,,,,,0,,0,,
213,65,105,23413,3448,321,2724,1757,967,8.461538462,5.238095238,3,3,,,,,0,,0,,
1,,,2,,,2351,1466,885,,,1,1,,,,,0,,0,,
39,19,71,13172,10185,158,1907,863,1044,63.31578947,16.94366197,2,2,2,1,-2,-1,1,2,-2,0.38224537,
2,1,23,635,491,24,1933,1933,0,1729,75.17391304,1,1,,,,,0,,0,,
152,39,185,14374,9622,317,2576,2307,269,8,1.686486486,3,4,,,,,0,,0,,
45,31,192,17231,12814,303,1232,222,1010,24.22580645,3.911458333,9,8,,,,,0,,0,,
1,,,2,,,3422,3422,0,,,1,1,,,,,0,,0,,
41,34,97,13686,9254,180,3709,61,3648,107.2941176,37.60824742,9,9,23,6,31,1.347826087,1,15,31,908.2120255,
5,4,2,1260,662,18,1941,1921,20,111.75,223.5,2,2,,,,,0,,0,,
1331,106,163,25323,11994,467,4811,61,4750,23.49056604,15.27607362,15,15,78,11,663,8.5,34,20,1289,3797.075914,
20,6,171,45270,23298,230,3226,1920,1306,217.6666667,7.637426901,4,4,,,,,0,,0,,
